Flight_ID,From,To,Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction,Class
1,Islamabad,Dubai,1715574760,2024-05-13T04:32:40Z,UAE613,"33.547371,72.845169",0,13,191,civil
1,Islamabad,Dubai,1715574767,2024-05-13T04:32:47Z,UAE613,"33.547054,72.845108",0,11,191,civil
1,Islamabad,Dubai,1715574785,2024-05-13T04:33:05Z,UAE613,"33.546352,72.844948",0,4,191,civil
1,Islamabad,Dubai,1715574923,2024-05-13T04:35:23Z,UAE613,"33.546146,72.844894",0,5,191,civil
1,Islamabad,Dubai,1715574931,2024-05-13T04:35:31Z,UAE613,"33.545879,72.844833",0,9,191,civil
1,Islamabad,Dubai,1715574938,2024-05-13T04:35:38Z,UAE613,"33.545567,72.844765",0,10,191,civil
1,Islamabad,Dubai,1715574944,2024-05-13T04:35:44Z,UAE613,"33.545334,72.844696",0,8,194,civil
1,Islamabad,Dubai,1715574953,2024-05-13T04:35:53Z,UAE613,"33.545158,72.84446",0,7,225,civil
1,Islamabad,Dubai,1715574959,2024-05-13T04:35:59Z,UAE613,"33.545185,72.844231",0,7,255,civil
1,Islamabad,Dubai,1715574966,2024-05-13T04:36:06Z,UAE613,"33.545277,72.843994",0,6,281,civil
1,Islamabad,Dubai,1715574971,2024-05-13T04:36:11Z,UAE613,"33.545311,72.843788",0,9,281,civil
1,Islamabad,Dubai,1715574974,2024-05-13T04:36:14Z,UAE613,"33.545345,72.843559",0,13,281,civil
1,Islamabad,Dubai,1715574977,2024-05-13T04:36:17Z,UAE613,"33.545391,72.843262",0,19,281,civil
1,Islamabad,Dubai,1715574979,2024-05-13T04:36:19Z,UAE613,"33.545448,72.842926",0,27,281,civil
1,Islamabad,Dubai,1715574986,2024-05-13T04:36:26Z,UAE613,"33.545753,72.840942",0,60,281,civil
1,Islamabad,Dubai,1715574994,2024-05-13T04:36:34Z,UAE613,"33.546295,72.837616",1750,90,281,civil
1,Islamabad,Dubai,1715575000,2024-05-13T04:36:40Z,UAE613,"33.546844,72.833862",1750,114,280,civil
1,Islamabad,Dubai,1715575010,2024-05-13T04:36:50Z,UAE613,"33.547989,72.826691",1750,149,280,civil
1,Islamabad,Dubai,1715575019,2024-05-13T04:36:59Z,UAE613,"33.549358,72.817955",1775,178,280,civil
1,Islamabad,Dubai,1715575028,2024-05-13T04:37:08Z,UAE613,"33.550755,72.808395",1900,190,280,civil
1,Islamabad,Dubai,1715575038,2024-05-13T04:37:18Z,UAE613,"33.552246,72.798271",2225,194,280,civil
1,Islamabad,Dubai,1715575047,2024-05-13T04:37:27Z,UAE613,"33.553642,72.788544",2600,196,279,civil
1,Islamabad,Dubai,1715575053,2024-05-13T04:37:33Z,UAE613,"33.554527,72.782135",2850,196,279,civil
1,Islamabad,Dubai,1715575063,2024-05-13T04:37:43Z,UAE613,"33.555878,72.771263",3100,202,278,civil
1,Islamabad,Dubai,1715575072,2024-05-13T04:37:52Z,UAE613,"33.557133,72.76091",3275,211,278,civil
1,Islamabad,Dubai,1715575081,2024-05-13T04:38:01Z,UAE613,"33.558437,72.749924",3425,220,278,civil
